Time (s),CO (ppm),Humidity (%r.h.),Temperature (C),Flow rate (mL/min),Heater voltage (V),R1 (MOhm),R2 (MOhm),R3 (MOhm),R4 (MOhm),R5 (MOhm),R6 (MOhm),R7 (MOhm),R8 (MOhm),R9 (MOhm),R10 (MOhm),R11 (MOhm),R12 (MOhm),R13 (MOhm),R14 (MOhm)
580.1530,0.0000,48.9800,24.6200,239.8796,0.2000,1.4918,1.1728,3.2235,27.9625,41.5938,30.2941,38.1873,64.5356,54.1752,58.5052,62.4980,55.4749,54.8616,68.9791
580.4580,0.0000,48.9800,24.6200,239.9098,0.1996,1.3770,1.1127,2.9178,27.2366,40.2166,28.7664,38.5320,57.2171,55.6241,56.6351,62.4980,56.9212,58.1506,71.7899
580.7630,0.0000,48.9800,24.6200,239.9379,0.2000,1.2757,1.0596,2.6623,27.0332,40.5960,27.5711,36.4079,53.7445,55.9641,61.0401,66.2834,55.4749,56.2919,71.7899
581.0680,0.0000,48.9800,24.6200,239.9659,0.2000,1.1906,1.0152,2.4449,26.3353,39.4783,26.1979,34.9132,55.2200,56.7266,62.3092,63.9090,55.4749,55.8946,71.7899
581.3720,0.0000,48.9800,24.6200,239.9717,0.2000,1.1177,0.9736,2.2493,25.2306,38.2635,24.7236,34.0723,56.7773,52.1360,57.3826,64.8558,56.1889,55.5677,70.6179
581.6770,0.0000,48.9800,24.6200,239.9549,0.2000,1.0530,0.9375,2.0897,24.9762,37.0903,23.1257,33.0106,56.4158,52.7987,55.9066,64.8558,54.7785,54.8616,70.6179
581.9820,0.0000,48.9800,24.6200,239.9381,0.2000,0.9966,0.9061,1.9440,23.2703,36.3183,21.7702,31.6408,53.0355,53.7929,56.9725,62.4980,54.7785,55.1804,70.6179
582.2870,0.0000,48.9800,24.6174,239.9199,0.2000,0.9487,0.8782,1.8239,22.7595,34.5568,20.3537,29.9644,55.9880,55.6241,61.4312,62.4980,53.4361,54.8616,69.4831
582.5920,0.0000,48.9800,24.6052,239.8961,0.1999,0.9042,0.8522,1.7164,22.1194,32.5644,19.0010,28.5398,58.8889,53.7929,58.5052,62.9890,54.7785,54.4839,70.0976
582.8970,0.0000,48.9800,24.5930,239.8723,0.2000,0.8651,0.8283,1.6205,21.2679,31.7249,17.7351,27.4191,54.4724,51.1432,54.8161,64.8558,55.0929,54.1730,70.0976
583.2010,0.0000,48.9800,24.5808,239.8486,0.2000,0.8305,0.8069,1.5391,20.5852,30.5816,16.6138,26.2146,51.9752,52.7987,55.1962,63.9090,53.0811,54.1730,69.4831
583.5060,0.0000,48.9800,24.5800,239.8624,0.2000,0.7994,0.7877,1.4639,19.8317,28.9097,15.5611,24.7278,51.6712,51.4893,60.5772,62.4980,52.7888,54.4839,68.3837
583.8110,0.0000,48.9800,24.5800,239.8789,0.2000,0.7710,0.7700,1.3968,18.9798,27.6681,14.5093,23.6013,52.6564,49.9123,56.9725,63.9090,53.4361,52.8453,69.4831
584.1160,0.0000,48.9800,24.5800,239.8953,0.2000,0.7458,0.7543,1.3381,18.3855,25.9583,13.5118,22.4465,54.0730,50.2422,54.5033,64.3359,53.0811,53.5010,68.9791
584.4210,0.0000,48.9800,24.5800,239.9363,0.2000,0.7220,0.7398,1.2835,17.3837,24.6642,12.6987,21.3953,54.4724,53.1055,56.2354,62.0947,52.7888,53.1414,68.3837
584.7250,0.0000,48.9800,24.5800,239.9901,0.2000,0.7005,0.7259,1.2329,16.3684,23.7447,11.9758,19.9797,50.3742,51.1432,55.5168,62.9890,53.0811,53.8044,68.3837
585.0290,0.0000,48.9800,24.5800,240.0439,0.2000,0.6816,0.7126,1.1898,15.7024,22.5159,11.2173,19.0444,51.6712,50.2422,56.2354,59.4820,53.4361,52.4943,67.8952
585.3340,0.0000,48.9800,24.5800,240.0589,0.1991,0.6631,0.7005,1.1493,15.4227,21.2431,10.5458,17.9465,52.6564,49.0530,54.1325,62.0947,53.0811,52.8453,67.3181
585.6390,0.0000,48.9800,24.5800,240.0077,0.1990,0.6466,0.6904,1.1119,14.7630,20.2544,9.8468,17.0018,51.6712,49.0530,53.1675,62.9890,52.4422,52.8453,67.8952
585.9440,0.0000,48.9800,24.5800,239.9566,0.1999,0.6312,0.6800,1.0790,13.6713,19.2504,9.3127,16.0113,49.4150,49.9123,54.8161,63.4039,52.1567,51.8624,67.8952
586.2490,0.0000,48.9800,24.5800,239.9182,0.2000,0.6173,0.6704,1.0490,13.1948,18.0994,8.7521,14.9835,54.4724,51.1432,58.5052,59.9272,51.5393,52.2052,67.8952
586.5530,0.0000,48.9800,24.5800,240.0054,0.2000,0.6039,0.6610,1.0212,12.7485,17.0328,8.2299,14.0960,52.6564,47.6171,56.6351,62.0947,52.1567,51.5801,67.3181
586.8570,0.0000,48.9800,24.5800,240.0926,0.2000,0.5921,0.6522,0.9936,12.0410,15.9165,7.7433,13.4649,51.6712,47.6171,52.1786,59.1160,50.6129,53.1414,68.9791
587.1620,0.0000,48.9800,24.5800,240.1801,0.2000,0.1639,0.2256,0.1826,0.4764,0.4164,0.3113,0.2804,4.5871,1.0312,1.1813,0.3580,0.2699,0.2278,0.1907
587.4670,0.0000,48.9800,24.5898,240.2051,0.8647,0.0623,0.1561,0.1127,0.1231,0.1304,0.1487,0.1289,0.1579,0.1186,0.1550,0.1314,0.1349,0.1224,0.1208
587.7720,0.0000,48.9800,24.6020,240.2152,0.8883,0.0681,0.1491,0.1079,0.1067,0.1141,0.1352,0.1204,0.1225,0.1048,0.1299,0.1195,0.1241,0.1142,0.1146
588.0760,0.0000,48.9800,24.6142,240.2252,0.8940,0.0739,0.1449,0.1083,0.1033,0.1118,0.1304,0.1205,0.1175,0.1027,0.1260,0.1172,0.1215,0.1130,0.1131
588.3820,0.0000,48.9800,24.6200,240.2221,0.8970,0.0788,0.1430,0.1107,0.1025,0.1128,0.1285,0.1220,0.1162,0.1019,0.1252,0.1161,0.1207,0.1130,0.1128
588.6860,0.0000,48.9800,24.6200,240.2072,0.8980,0.0817,0.1427,0.1134,0.1031,0.1147,0.1281,0.1238,0.1159,0.1018,0.1249,0.1155,0.1203,0.1129,0.1126
588.9910,0.0000,48.9800,24.6200,240.1923,0.8980,0.0843,0.1437,0.1164,0.1040,0.1167,0.1284,0.1260,0.1157,0.1017,0.1249,0.1151,0.1199,0.1127,0.1124
589.2950,0.0000,48.9800,24.6200,240.1624,0.8989,0.0863,0.1450,0.1190,0.1050,0.1187,0.1290,0.1281,0.1156,0.1015,0.1248,0.1147,0.1197,0.1130,0.1123
589.6000,0.0000,48.9800,24.6200,240.0855,0.8990,0.0883,0.1465,0.1213,0.1061,0.1204,0.1298,0.1298,0.1154,0.1014,0.1246,0.1143,0.1196,0.1129,0.1123
589.9050,0.0000,48.9800,24.6200,240.0086,0.8980,0.0899,0.1479,0.1235,0.1071,0.1221,0.1306,0.1314,0.1154,0.1014,0.1246,0.1143,0.1193,0.1129,0.1123
590.2090,0.0000,48.9800,24.6200,239.9320,0.8986,0.0913,0.1494,0.1256,0.1080,0.1236,0.1315,0.1331,0.1153,0.1013,0.1246,0.1140,0.1192,0.1129,0.1122
590.5140,0.0000,48.9800,24.6200,239.9753,0.8985,0.0925,0.1507,0.1271,0.1091,0.1250,0.1321,0.1344,0.1153,0.1012,0.1245,0.1139,0.1190,0.1127,0.1120
590.8190,0.0000,48.9800,24.6200,240.0235,0.8980,0.0936,0.1520,0.1286,0.1098,0.1262,0.1328,0.1355,0.1153,0.1012,0.1243,0.1136,0.1188,0.1127,0.1119
591.1240,0.0000,48.9800,24.6200,240.0717,0.8990,0.0948,0.1531,0.1300,0.1104,0.1273,0.1334,0.1365,0.1152,0.1012,0.1243,0.1135,0.1188,0.1127,0.1119
591.4280,0.0000,48.9800,24.6200,240.0713,0.8990,0.0956,0.1542,0.1312,0.1113,0.1285,0.1340,0.1375,0.1152,0.1010,0.1243,0.1132,0.1188,0.1126,0.1119
591.7330,0.0000,48.9800,24.6200,240.0481,0.8990,0.0965,0.1549,0.1323,0.1117,0.1293,0.1345,0.1382,0.1152,0.1010,0.1243,0.1132,0.1186,0.1126,0.1119
592.0370,0.0000,48.9800,24.6200,240.0250,0.8980,0.0973,0.1556,0.0598,0.0581,0.0978,0.1152,0.1745,0.1153,0.1009,0.1242,0.0548,0.1189,0.2334,0.2537
592.3420,0.0000,48.9800,24.6200,240.0025,0.8456,0.2936,0.8530,1.3166,1.0000,1.4704,1.7485,2.4569,2.0953,2.1163,2.8218,5.5262,7.6647,11.2639,14.2367
592.6480,0.0000,48.9800,24.6200,239.9811,0.2116,2.9068,7.3068,11.0509,7.9175,10.9359,12.3993,15.7919,36.8637,31.6407,37.7727,48.5579,50.9361,52.4943,62.0375
592.9530,0.0000,48.9800,24.6200,239.9598,0.2070,14.4987,29.9934,40.8174,27.4429,39.3142,36.3160,48.3134,71.9353,64.7257,70.3356,77.4430,80.4289,71.6896,78.2765
593.2590,0.0000,48.9800,24.6200,239.9323,0.2040,39.9243,62.2823,70.3356,45.4878,65.8970,68.6335,74.4318,80.4907,75.1784,75.8734,79.4770,82.6184,75.4135,79.7151
593.5640,0.0000,48.9800,24.6200,239.8628,0.2025,65.4927,80.5097,84.6501,52.5578,81.8393,85.6391,90.4935,74.5800,77.1883,81.5100,79.4770,85.8287,79.5397,82.0441
593.8690,0.0000,48.9800,24.6200,239.7933,0.2020,75.0345,85.9150,88.8467,55.3201,91.0430,90.3736,89.6542,73.9623,74.4511,80.6932,82.4524,81.9217,75.4135,83.6241
594.1740,0.0000,48.9800,24.6200,239.7237,0.2010,80.5097,87.6161,94.5698,57.4061,83.3863,86.6118,89.6542,75.9758,75.7953,79.2369,79.4770,79.6371,78.1157,85.2654
594.4810,0.0000,48.9800,24.6200,239.7814,0.2010,76.3332,89.3851,84.6501,54.5125,83.3863,79.9474,86.1372,75.3350,78.6328,74.5825,79.4770,76.2566,74.1305,80.5220
594.7850,0.0000,48.9800,24.6200,239.8613,0.2001,76.3332,79.7171,77.2091,50.7364,74.8839,74.2258,75.7201,68.2983,74.4511,73.8965,75.3916,70.1781,74.7083,82.0441
595.0900,0.0000,48.9800,24.6200,239.9415,0.2000,67.5047,75.6194,74.5825,50.7364,74.8839,71.6582,73.1862,70.6812,72.5778,73.8965,80.2672,71.3160,71.6896,80.5220
595.3950,0.0000,48.9800,24.6200,239.9356,0.2009,61.4100,69.6423,69.2228,47.2234,67.9380,67.5130,69.0829,73.2341,71.8992,69.8255,77.4430,70.6909,71.6896,79.7151
595.6990,0.0000,48.9800,24.6200,239.8651,0.2000,55.1483,66.0296,67.0980,46.6306,65.8970,62.9311,64.9666,71.3599,73.1532,68.7283,78.0675,68.0064,72.2303,79.0547
596.0040,0.0000,48.9800,24.6200,239.7943,0.2000,51.8702,60.5615,60.5772,42.5889,63.0524,61.0677,61.7820,66.6625,75.1784,71.4844,77.4430,66.4169,72.2303,78.2765
596.3090,0.0000,48.9800,24.6200,239.7736,0.2000,48.4088,57.3178,61.4312,42.5889,59.9876,57.6490,59.1825,68.9323,73.1532,73.8965,76.1033,65.4269,71.0511,78.2765
596.6140,0.0000,48.9800,24.6200,239.8760,0.2000,45.3727,56.9784,58.5052,41.6304,56.4626,55.6631,58.0323,76.7590,75.1784,72.6707,72.8909,64.4655,69.9094,77.6394
596.9180,0.0000,48.9800,24.6200,239.9782,0.2000,42.0836,51.5911,56.6351,41.6304,55.0376,54.5217,56.8574,70.1254,71.8992,67.0980,76.1033,64.0377,69.4023,76.8882
597.2230,0.0000,48.9800,24.6200,240.0798,0.2000,39.9243,48.9538,52.5235,38.8066,55.7412,53.8074,55.0846,67.1654,73.8555,67.6646,76.1033,64.4655,69.4023,78.2765
597.5280,0.0000,48.9800,24.6200,240.0447,0.2000,38.6853,45.3727,54.1325,39.4097,54.0448,52.4326,54.3932,66.0689,71.8992,70.3356,73.5565,62.2197,67.7311,79.0547
597.8320,0.0000,48.9800,24.6200,240.0097,0.2000,36.5323,41.4592,50.6801,37.7935,52.7357,53.1112,53.7185,68.9323,71.3431,69.2228,74.1205,63.1158,67.2546,78.2765
598.1370,0.0000,48.9800,24.6200,239.9747,0.2000,34.1983,38.0017,48.6589,37.7935,50.2960,51.4753,54.3932,70.6812,71.3431,65.0981,70.0370,63.5316,67.2546,78.2765
598.4420,0.0000,48.9800,24.6200,239.9531,0.2000,31.7887,33.2779,41.8301,38.5850,51.7661,49.8802,52.7077,66.6625,71.8992,69.8255,71.7010,61.3484,66.2291,77.6394
598.7460,0.0000,48.9800,24.6200,239.9367,0.2000,29.0583,28.5764,43.0884,36.3021,51.7661,50.2138,51.7898,63.9786,71.3431,68.7283,71.7010,62.2197,66.2291,75.5478
599.0510,0.0000,48.9800,24.6200,239.9202,0.2000,26.1726,24.3475,41.4265,37.4095,49.9804,50.2138,51.1767,66.6625,73.8555,72.1267,70.0370,60.5007,64.7036,77.6394
599.3560,0.0000,48.9800,24.6200,239.9353,0.2000,23.1905,20.0968,37.9251,37.4095,48.8555,49.0116,51.4536,70.1254,72.5778,67.6646,70.0370,60.5007,63.7528,76.8882
599.6600,0.0000,48.9800,24.6200,239.9900,0.2000,20.0433,16.0471,34.4177,36.1399,48.3116,47.0137,50.2568,66.0689,68.9939,51.8946,66.8349,58.0204,62.8292,73.0008
599.9660,0.0000,48.9800,24.6200,240.0451,0.2000,17.3940,12.7761,30.6799,35.7879,48.6068,47.0137,49.4202,64.5356,70.1491,67.6646,66.2834,58.0204,64.2680,78.2765
600.2730,0.0000,48.9800,24.6200,240.0842,0.2000,14.6595,10.1350,28.1105,36.8645,48.8555,47.8646,49.6787,65.5821,67.2807,66.6330,69.4325,59.6018,61.0589,76.2732
600.5770,0.0000,48.9800,24.6200,240.0444,0.2000,12.4091,8.0899,24.2008,35.5988,48.8555,48.1206,50.5778,67.1654,65.7431,61.9071,65.2954,60.0479,61.5319,75.5478
600.8820,0.0000,48.9800,24.6200,240.0045,0.2000,10.4313,6.4893,21.4386,36.6641,48.6068,46.2396,49.6787,64.5356,46.8330,65.6318,67.3014,58.0204,61.9316,74.9537
601.1870,0.0000,48.9800,24.6200,239.9646,0.2000,8.7553,5.2626,18.7311,34.9216,48.6068,45.4440,48.8606,62.5385,69.5143,67.6646,66.8349,58.0204,61.0589,74.9537
601.4920,0.0000,48.9800,24.6200,239.9888,0.2000,7.3681,4.3183,16.2754,34.9216,47.7793,45.4440,48.0199,66.0689,67.2807,67.6646,66.2834,58.4435,60.2100,74.9537
601.7960,0.0000,48.9800,24.6200,240.0209,0.1999,6.1974,3.5956,14.0009,35.2570,47.5412,44.4533,47.7780,65.5821,61.3556,65.0981,67.8697,58.4435,59.3841,74.2528
602.1010,0.0000,48.9800,24.6200,240.0532,0.2000,5.2150,3.0534,11.9343,33.6400,47.2584,43.7591,47.7780,62.9816,61.8514,59.7462,68.3506,59.2350,59.8318,74.2528
602.4050,0.0000,48.9800,24.6200,240.0733,0.2000,4.4330,2.6329,10.2396,32.8980,46.0259,43.2939,47.2542,60.6597,61.8514,61.4312,64.3359,58.0204,60.6701,73.0008
602.7100,0.0000,48.9800,24.6200,240.0855,0.2000,3.7975,2.2489,8.9060,32.7375,46.7486,41.5264,45.4842,62.5385,64.7257,65.6318,66.2834,57.6725,58.9429,73.0008
603.0150,0.0000,48.9800,24.6200,240.0977,0.2000,3.2728,2.0452,7.7263,33.1964,45.7605,40.4733,45.2667,61.0769,58.3888,61.0401,67.3014,57.6725,57.7974,73.6785
603.3190,0.0000,48.9800,24.6200,240.1157,0.2000,2.8454,1.8385,6.6916,32.8980,45.7605,38.9201,45.0083,61.5850,57.5820,58.5052,67.3014,56.9212,57.7974,73.6785
603.6240,0.0000,48.9800,24.6200,240.1459,0.2000,2.5009,1.6730,5.8141,31.2120,45.2816,37.1350,43.8803,57.2171,62.7811,62.7987,65.8307,56.5195,57.3790,73.0008
603.9290,0.0000,48.9800,24.6200,240.1761,0.2000,2.2144,1.5328,5.1083,30.6869,45.5416,36.4650,42.3453,55.9880,57.9460,61.0401,67.8697,56.1889,57.3790,73.0008
604.2340,0.0000,48.9800,24.6200,240.1979,0.2000,1.9841,1.4201,4.4984,29.9306,43.9021,35.3616,41.3428,62.0148,59.2182,63.2123,63.9090,56.9212,57.3790,72.4454
604.5380,0.0000,48.9800,24.6200,240.0319,0.2000,1.7853,1.3229,3.9854,29.3168,43.9021,33.8751,41.5249,58.8889,55.9641,57.3826,62.4980,56.9212,56.6272,71.7899
604.8430,0.0000,48.9800,24.6200,239.8654,0.2000,1.6220,1.2415,3.5601,28.2996,42.8332,32.2446,39.9739,57.5888,55.9641,57.3826,63.9090,56.9212,56.6272,71.2524
605.1480,0.0000,48.9800,24.6200,239.6989,0.2000,1.4877,1.1723,3.2174,27.8649,41.9991,30.5253,38.0325,54.0730,58.7630,62.3092,64.3359,55.4749,57.0349,72.4454
605.4520,0.0000,48.9800,24.6200,239.7516,0.2000,1.3714,1.1112,2.9144,27.6523,41.7771,28.7664,36.7219,55.9880,53.7929,60.5772,64.8558,56.1889,56.2919,71.7899
605.7570,0.0000,48.9800,24.6200,239.8739,0.2000,1.2729,1.0596,2.6476,26.3353,40.0465,27.4672,36.5500,56.7773,53.1055,57.3826,62.4980,56.9212,55.5677,70.6179
606.0620,0.0000,48.9800,24.6200,239.9962,0.2000,1.1874,1.0130,2.4356,26.2483,39.1190,25.8558,35.0441,55.9880,53.1055,56.2354,65.2954,55.4749,55.1804,70.6179
606.3670,0.0000,48.9800,24.6200,240.0768,0.2000,1.1147,0.9741,2.2436,25.2306,37.9253,24.2672,33.6544,53.7445,57.1512,60.5772,63.4039,54.4059,55.8946,70.6179
606.6710,0.0000,48.9800,24.6200,240.1117,0.1996,1.0521,0.9375,2.0834,24.1383,36.3183,22.7960,32.1219,53.0355,55.9641,61.9071,62.9890,55.0929,54.4839,71.2524
606.9760,0.0000,48.9800,24.6200,240.1468,0.1997,0.9953,0.9050,1.9432,23.5763,35.4163,15.8213,5.8961,54.8097,52.4352,57.7289,63.9090,17.0500,6.4234,4.1115
607.2800,0.0000,48.9800,24.6176,240.1523,0.1998,0.0870,0.1851,0.1515,0.3342,0.3645,0.2734,0.2722,0.4239,0.2042,0.2868,0.1751,0.1718,0.1540,0.1406
607.5850,0.0000,48.9800,24.6054,240.0349,0.8788,0.0655,0.1566,0.1161,0.1317,0.1505,0.1561,0.1476,0.1358,0.1099,0.1400,0.1238,0.1293,0.1185,0.1169
607.8910,0.0000,48.9800,24.5932,239.9171,0.8920,0.0708,0.1494,0.1114,0.1117,0.1251,0.1382,0.1305,0.1200,0.1037,0.1279,0.1180,0.1230,0.1143,0.1138
608.1940,0.0000,48.9800,24.5811,239.8004,0.8961,0.0757,0.1456,0.1117,0.1067,0.1196,0.1325,0.1271,0.1172,0.1024,0.1257,0.1163,0.1214,0.1137,0.1130
608.4990,0.0000,48.9800,24.5800,239.9629,0.8980,0.0794,0.1442,0.1137,0.1057,0.1188,0.1308,0.1273,0.1166,0.1021,0.1250,0.1157,0.1210,0.1135,0.1128
608.8040,0.0000,48.9800,24.5800,240.1526,0.8983,0.0825,0.1443,0.1161,0.1060,0.1196,0.1304,0.1284,0.1162,0.1019,0.1250,0.1153,0.1203,0.1133,0.1127
609.1080,0.0000,48.9800,24.5800,240.3417,0.8980,0.0849,0.1453,0.1187,0.1066,0.1210,0.1305,0.1299,0.1161,0.1018,0.1250,0.1148,0.1201,0.1134,0.1124
609.4130,0.0000,48.9800,24.5800,240.4160,0.8990,0.0870,0.1466,0.1210,0.1073,0.1224,0.1310,0.1314,0.1158,0.1017,0.1248,0.1146,0.1199,0.1131,0.1123
609.7180,0.0000,48.9800,24.5800,240.4224,0.8986,0.0891,0.1481,0.1234,0.1083,0.1239,0.1316,0.1330,0.1158,0.1015,0.1246,0.1142,0.1197,0.1133,0.1123
610.0230,0.0000,48.9800,24.5800,240.4288,0.8983,0.0904,0.1494,0.1253,0.1091,0.1251,0.1324,0.1344,0.1157,0.1014,0.1248,0.1140,0.1194,0.1131,0.1122
610.3270,0.0000,48.9800,24.5800,240.3989,0.8988,0.0921,0.1507,0.1268,0.1098,0.1265,0.1329,0.1355,0.1157,0.1014,0.1246,0.1140,0.1192,0.1131,0.1122
610.6320,0.0000,48.9800,24.5800,240.3007,0.8990,0.0930,0.1520,0.1285,0.1106,0.1275,0.1336,0.1365,0.1156,0.1014,0.1245,0.1138,0.1192,0.1129,0.1120
610.9370,0.0000,48.9800,24.5800,240.2024,0.8980,0.0940,0.1530,0.1299,0.1114,0.1286,0.1340,0.1375,0.1156,0.1013,0.1245,0.1134,0.1190,0.1131,0.1119
611.2420,0.0000,48.9800,24.5800,240.1114,0.8990,0.0951,0.1539,0.1309,0.1120,0.1296,0.1347,0.1383,0.1156,0.1012,0.1243,0.1134,0.1189,0.1130,0.1119
611.5460,0.0000,48.9800,24.5800,240.1168,0.8990,0.0959,0.1549,0.1321,0.1123,0.1303,0.1351,0.1392,0.1154,0.1012,0.1242,0.1132,0.1189,0.1129,0.1119
611.8510,0.0000,48.9800,24.5800,240.1223,0.8990,0.0968,0.1558,0.1330,0.1129,0.1310,0.1355,0.1396,0.1153,0.1012,0.1242,0.1131,0.1188,0.1130,0.1119
612.1550,0.0000,48.9800,24.5800,240.1278,0.8987,0.0594,0.1583,0.2381,0.1930,0.3101,0.3584,0.5501,0.1147,0.1213,0.2114,0.3871,0.7689,1.3703,1.6053
612.4600,0.0000,48.9800,24.5800,240.1123,0.2151,0.7873,2.1841,3.3434,2.6059,3.6907,4.2710,5.6670,8.7963,8.3047,10.1964,17.7996,21.7739,26.6875,34.1261
612.7670,0.0000,48.9800,24.5800,240.0908,0.2094,5.8910,13.9365,20.5224,15.1522,21.0851,22.9903,28.5398,53.3555,49.3184,55.1962,66.2834,66.4169,65.6827,54.8439
613.0720,0.0000,48.9800,24.5800,240.0694,0.2060,23.1319,43.1138,55.1962,35.9471,55.4192,57.2118,62.6718,71.3599,71.3431,78.5920,84.0241,82.6184,77.3599,85.2654
613.3760,0.0000,48.9800,24.5800,240.0472,0.2038,49.5111,72.5638,83.7703,51.5016,76.1799,79.9474,82.0372,79.7728,79.4435,85.3974,83.3024,85.8287,76.7411,84.3623
613.6810,0.0000,48.9800,24.5800,240.0240,0.2022,70.2486,82.7015,87.0883,58.8009,88.3945,88.4531,92.3957,78.9279,74.4511,75.8734,83.3024,85.0777,76.0113,83.6241
613.9850,0.0000,48.9800,24.5800,240.0009,0.2019,77.6770,86.8347,87.0883,57.0082,84.1087,84.8448,94.3788,75.3350,74.4511,73.8965,79.4770,81.9217,51.2453,82.7549
614.2900,0.0000,48.9800,24.5800,239.9789,0.2010,78.3034,91.2262,88.0388,55.3201,85.7425,85.6391,86.1372,74.5800,80.1318,80.6932,79.4770,77.5990,74.7083,82.7549
614.5950,0.0000,48.9800,24.5800,239.9609,0.2001,79.7171,87.6161,85.3974,52.9649,80.3481,82.2501,81.3453,71.3599,79.4435,81.5100,78.0675,75.5435,48.9146,82.0441
614.9000,0.0000,48.9800,24.5800,239.9429,0.2006,71.9176,83.5541,81.5100,51.5016,72.9643,75.5789,77.0531,73.9623,76.5489,75.8734,78.0675,73.7047,72.2303,79.7151
615.2040,0.0000,48.9800,24.5800,239.9250,0.2000,63.5954,72.5638,75.8734,50.7364,70.6198,68.1197,73.1862,71.3599,73.1532,69.2228,80.2672,70.6909,72.2303,80.5220
615.5090,0.0000,48.9800,24.5800,239.8753,0.2000,58.5022,68.5571,66.0832,45.1856,65.3611,67.5130,69.0829,68.2983,75.7953,71.4844,74.1205,69.5724,75.4135,79.7151
615.8140,0.0000,48.9800,24.5800,239.8238,0.2000,54.1535,63.1793,67.0980,43.8732,63.4677,62.4119,43.1980,67.7787,77.9697,78.5920,75.3916,66.9695,72.2303,77.6394
616.1190,0.0000,48.9800,24.5800,239.7722,0.2000,50.0809,61.4100,62.3092,43.5916,59.9876,59.7005,61.3071,75.9758,73.8555,72.6707,72.8909,66.4169,71.0511,79.7151
616.4230,0.0000,48.9800,24.5800,239.7613,0.2000,46.3424,57.3178,57.7289,42.8579,58.3847,57.6490,60.0750,71.3599,71.8992,68.1441,76.7065,66.4169,70.5276,79.0547
616.7270,0.0000,48.9800,24.5800,239.7707,0.2000,43.5478,53.4898,55.9066,40.0709,54.7235,56.4270,59.6255,67.7787,73.1532,68.1441,71.7010,65.4269,71.6896,78.2765
617.0320,0.0000,48.9800,24.5800,239.7801,0.2009,41.6775,50.9873,53.8273,38.8066,53.6815,54.9192,57.2667,67.1654,73.1532,72.1267,71.1727,64.4655,70.5276,79.0547
617.3370,0.0000,48.9800,24.5846,239.7931,0.2000,39.5577,48.1649,53.4654,38.5850,52.7357,54.5217,55.7936,69.4696,70.1491,69.8255,70.5488,64.4655,69.4023,79.0547
617.6420,0.0000,48.9800,24.5968,239.8117,0.2000,38.0017,44.9026,51.8946,38.5850,53.6815,53.1112,54.3932,70.1254,70.1491,66.6330,74.1205,63.5316,68.3118,78.2765
617.9470,0.0000,48.9800,24.6090,239.8302,0.2000,35.6216,40.5040,49.2128,38.0062,53.0277,52.4326,53.7185,67.7787,71.8992,65.6318,73.5565,62.6239,68.3118,77.6394
618.2520,0.0000,48.9800,24.6200,239.8490,0.2000,33.6595,37.0193,49.2128,37.7935,52.3895,50.4951,53.3574,68.9323,77.1883,72.1267,71.7010,61.3484,66.2291,78.2765
618.5570,0.0000,48.9800,24.6200,239.8691,0.1997,30.9681,31.3207,47.5870,38.5850,51.7661,51.1251,52.0732,66.6625,71.3431,69.2228,73.5565,60.8831,66.2291,78.2765
618.8610,0.0000,48.9800,24.6200,239.8892,0.2000,28.1951,26.9345,43.9691,38.5850,51.4875,49.8802,52.4174,70.1254,68.9939,66.0832,71.7010,60.8831,64.2680,76.2732
619.1660,0.0000,48.9800,24.6200,239.9093,0.2000,25.0092,22.3843,40.4326,38.1853,50.5620,49.0116,52.0732,68.2983,70.6869,68.7283,71.7010,60.0479,65.2340,76.8882
619.4710,0.0000,48.9800,24.6200,239.9729,0.2000,21.8480,18.5487,36.3122,37.0331,50.5620,49.0116,50.5778,67.1654,72.5778,68.7283,68.9366,60.0479,64.7036,77.6394
619.7760,0.0000,48.9800,24.6200,240.0460,0.2000,19.1578,14.8790,33.7225,36.6641,50.5620,49.0116,50.8483,68.2983,73.1532,70.9577,67.8697,59.2350,63.3297,76.2732
620.0800,0.0000,48.9800,24.6200,240.1189,0.2000,16.4044,11.8028,30.3391,37.0331,49.4117,47.8646,50.2568,68.2983,70.6869,68.1441,60.7607,59.6018,61.9316,76.2732
620.3850,0.0000,48.9800,24.6200,240.1304,0.2000,13.8387,9.3574,26.1779,36.3021,49.9804,48.1206,50.2568,66.0689,66.2161,61.9071,70.5488,59.6018,62.4181,74.2528
620.6890,0.0000,48.9800,24.6200,240.0888,0.2000,11.6790,7.4691,22.9926,36.3021,49.7203,47.3106,49.9924,62.9816,67.2807,64.1416,70.0370,59.2350,62.8292,76.2732
620.9940,0.0000,48.9800,24.6200,240.0472,0.1999,9.8419,5.9974,20.7301,35.1038,49.1574,46.4788,48.8606,62.0148,70.1491,69.8255,67.8697,58.8007,60.6701,75.5478
621.2990,0.0000,48.9800,24.6200,239.9981,0.2000,8.2674,4.8808,17.7104,34.7712,49.1574,46.4788,49.4202,63.9786,62.7811,63.7159,64.8558,59.2350,62.8292,79.0547
621.6060,0.0000,48.9800,24.6200,239.9271,0.1997,6.9491,4.0404,15.2768,34.2691,47.0253,44.4533,47.2542,70.1254,63.7388,60.5772,66.8349,56.1889,59.3841,73.6785
621.9120,0.0000,48.9800,24.6200,239.8564,0.1995,5.8550,3.3847,13.1529,33.9517,46.7486,43.2939,48.0199,60.1664,63.7388,62.7987,64.8558,56.5195,61.9316,76.2732
